Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
Beatles Cafe,https://goo.gl/maps/UKWhtspLMPrf6qbs7,10:00am,7:00PM,☕,💪💪💪,🔌🔌
Tatva Cafe,https://goo.gl/maps/yXn7tE9quzamZY218,11AM,10PM,☕☕☕,💪💪💪,🔌🔌🔌🔌
Chilis,https://goo.gl/maps/d4sY5Rda3PvyWZTM6,11AM,11PM,☕☕☕☕,💪💪💪💪,🔌🔌🔌
